source_pr_number	source_pr_state	source_pr_title	source_pr_url	source_pr_author_login	source_pr_author_name	source_base_ref	source_head_ref	source_head_sha	source_merged_at	source_closed_at	import_kind	target_pr_number	target_pr_url	target_pr_is_draft	target_branch	target_base_branch	target_commit_sha
53	OPEN	[codex] Add Wikipedia persona seed pipeline	https://github.com/MatrAIx-ai/MatrAIx/pull/53	ElegantLin	Zonglin DI	main	codex/wiki-persona-seed-pipeline	2ff34633effde6d75b1b566b43abf0eb59b879d2	NA	NA	open_pr_snapshot	79	https://github.com/ElegantLin/PersonaBench/pull/79	true	codex/matraix-pr-snapshot-053-2ff34633ef	codex/matraix-main-061-e50592a4cb	b2d3dc72d659ba8bd71c24e9aa0e0a9bbc009248
55	OPEN	docs(dedup): reconcile status and update validators to Python	https://github.com/MatrAIx-ai/MatrAIx/pull/55	SakshamKapoor2911	Saksham Kapoor	main	fix/dedup-tracker	b9e2df15a8a4729105fc068fa4e42c834f4dad4b	NA	NA	open_pr_snapshot	78	https://github.com/ElegantLin/PersonaBench/pull/78	true	codex/matraix-pr-snapshot-055-b9e2df15a8	codex/matraix-main-061-e50592a4cb	cfeaf263cf9dc3e0af31efca917a8573d0fe191d
59	MERGED	Add Amazon Reviews 2023 persona data pipeline	https://github.com/MatrAIx-ai/MatrAIx/pull/59	rosierogao	NA	main	amazon-reviews-2023-pipeline	5f8a2b3e77ac3f02e100130787c2fc3894999904	2026-06-22T03:33:24Z	2026-06-22T03:33:24Z	merged_pr_snapshot	104	https://github.com/ElegantLin/PersonaBench/pull/104	true	codex/matraix-pr-merged-snapshot-059-5f8a2b3e77	codex/matraix-main-061-e50592a4cb	9481f0c4aeaecf3533cfa2700b5e451d1c2f5cf3
60	MERGED	Simplify Amazon Reviews pool summary table	https://github.com/MatrAIx-ai/MatrAIx/pull/60	rosierogao	NA	amazon-reviews-2023-pipeline	simplify-amazon-pool-summary-table	6aed244d35805002c472d6b3f19cf398491070e5	2026-06-22T03:39:08Z	2026-06-22T03:39:09Z	merged_pr_snapshot	105	https://github.com/ElegantLin/PersonaBench/pull/105	true	codex/matraix-pr-merged-snapshot-060-6aed244d35	codex/matraix-main-061-e50592a4cb	f96d350d02c88d9c92f717ac5dd4143c2dfdd660
61	MERGED	Remove extra Amazon Reviews pool stats tables	https://github.com/MatrAIx-ai/MatrAIx/pull/61	rosierogao	NA	main	remove-amazon-pool-extra-tables	602aa4ae7a2c5b7c26ac76f958dc448caf1951da	2026-06-22T03:45:22Z	2026-06-22T03:45:22Z	merged_pr_snapshot	106	https://github.com/ElegantLin/PersonaBench/pull/106	true	codex/matraix-pr-merged-snapshot-061-602aa4ae7a	codex/matraix-main-061-e50592a4cb	eb061dd237522736e71d59ef5b2afcf56f56e762
62	MERGED	Inline Amazon Reviews pool definitions	https://github.com/MatrAIx-ai/MatrAIx/pull/62	rosierogao	NA	main	remove-amazon-pool-extra-tables	26aa01d2a4ecab5fd827ca2a04fef389a6ec7cc7	2026-06-22T03:57:58Z	2026-06-22T03:57:58Z	merged_pr_snapshot	107	https://github.com/ElegantLin/PersonaBench/pull/107	true	codex/matraix-pr-merged-snapshot-062-26aa01d2a4	codex/matraix-main-061-e50592a4cb	8d088265e5ae57c405944df785fc77bec946bdca
63	MERGED	Add Amazon review dimension inference pipeline	https://github.com/MatrAIx-ai/MatrAIx/pull/63	rosierogao	NA	main	amazon-dimension-inference-sample	a2d657b2b013c0b498e094c0a255015b55e91b82	2026-06-22T04:19:15Z	2026-06-22T04:19:15Z	merged_pr_snapshot	108	https://github.com/ElegantLin/PersonaBench/pull/108	true	codex/matraix-pr-merged-snapshot-063-a2d657b2b0	codex/matraix-main-061-e50592a4cb	84533f785dbd44ac3073f5aeaa60714918dbcabe
65	MERGED	Add optimized Amazon persona inference workflow	https://github.com/MatrAIx-ai/MatrAIx/pull/65	rosierogao	NA	main	amazon-evidence-profile-modal	4bfd95944825c27aaa5d5ee22c94dda797cb6882	2026-06-22T08:05:03Z	2026-06-22T08:05:03Z	merged_pr_snapshot	109	https://github.com/ElegantLin/PersonaBench/pull/109	true	codex/matraix-pr-merged-snapshot-065-4bfd959448	codex/matraix-main-061-e50592a4cb	499db30e696b994c8b086629dd9a688c0b0b9fc8
71	OPEN	[codex] Add offline wiki collaboration runner	https://github.com/MatrAIx-ai/MatrAIx/pull/71	ElegantLin	Zonglin DI	main	codex/wiki-collab-distribution	15c4141df133a5fb783aad1445f6c472ca7c2335	NA	NA	open_pr_snapshot	77	https://github.com/ElegantLin/PersonaBench/pull/77	true	codex/matraix-pr-snapshot-071-15c4141df1	codex/matraix-main-061-e50592a4cb	aac4cf24e6fe361ad52b48acbc68c32b4ea376b4
72	OPEN	app: add Harbor recommender chat task	https://github.com/MatrAIx-ai/MatrAIx/pull/72	YifanLiu2	Yifan Liu	main	app/recommender-agent-harbor	3f44cee8d2dafd1ce90b7601caf8d33b824762c3	NA	NA	open_pr_snapshot	76	https://github.com/ElegantLin/PersonaBench/pull/76	true	codex/matraix-pr-snapshot-072-3f44cee8d2	codex/matraix-main-061-e50592a4cb	271893240465d6787a099445d2f859048856929c
